Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
75	:	1706635676.079	     0.121	0	25	0	0	magma -b seq:=763 rk2search_omit.m
78	:	1706635676.155	     0.079	0	23	0	0	magma -b seq:=8532 rk2search_omit.m
79	:	1706635676.199	     0.076	0	25	0	0	magma -b seq:=4847 rk2search_omit.m
80	:	1706635676.210	     0.085	0	22	0	0	magma -b seq:=10409 rk2search_omit.m
81	:	1706635676.235	     0.096	0	24	0	0	magma -b seq:=10889 rk2search_omit.m
83	:	1706635676.295	     0.099	0	24	0	0	magma -b seq:=2449 rk2search_omit.m
82	:	1706635676.263	     0.171	0	24	0	0	magma -b seq:=4807 rk2search_omit.m
84	:	1706635676.307	     0.129	0	24	0	0	magma -b seq:=3996 rk2search_omit.m
86	:	1706635676.415	     0.104	0	22	0	0	magma -b seq:=4131 rk2search_omit.m
85	:	1706635676.367	     0.175	0	24	0	0	magma -b seq:=1779 rk2search_omit.m
87	:	1706635676.455	     0.116	0	23	0	0	magma -b seq:=1524 rk2search_omit.m
88	:	1706635676.475	     0.108	0	24	0	0	magma -b seq:=347 rk2search_omit.m
90	:	1706635676.563	     0.075	0	25	0	0	magma -b seq:=1901 rk2search_omit.m
91	:	1706635676.583	     0.084	0	24	0	0	magma -b seq:=11114 rk2search_omit.m
92	:	1706635676.611	     0.103	0	26	0	0	magma -b seq:=2881 rk2search_omit.m
89	:	1706635676.543	     0.196	0	26	0	0	magma -b seq:=1009 rk2search_omit.m
93	:	1706635676.667	     0.072	0	23	0	0	magma -b seq:=7698 rk2search_omit.m
94	:	1706635676.703	     0.095	0	24	0	0	magma -b seq:=2394 rk2search_omit.m
96	:	1706635676.771	     0.096	0	25	0	0	magma -b seq:=1008 rk2search_omit.m
98	:	1706635676.823	     0.120	0	23	0	0	magma -b seq:=6487 rk2search_omit.m
95	:	1706635676.739	     0.227	0	22	0	0	magma -b seq:=7508 rk2search_omit.m
97	:	1706635676.791	     0.212	0	24	0	0	magma -b seq:=10280 rk2search_omit.m
99	:	1706635676.895	     0.118	0	22	0	0	magma -b seq:=6980 rk2search_omit.m
101	:	1706635677.003	     0.139	0	23	0	0	magma -b seq:=1201 rk2search_omit.m
100	:	1706635676.967	     0.198	0	24	0	0	magma -b seq:=8867 rk2search_omit.m
103	:	1706635677.034	     0.153	0	24	0	0	magma -b seq:=1140 rk2search_omit.m
102	:	1706635677.022	     0.199	0	23	0	0	magma -b seq:=7960 rk2search_omit.m
105	:	1706635677.183	     0.128	0	23	0	0	magma -b seq:=576 rk2search_omit.m
104	:	1706635677.157	     0.185	0	23	0	0	magma -b seq:=2409 rk2search_omit.m
106	:	1706635677.197	     0.157	0	24	0	0	magma -b seq:=1709 rk2search_omit.m
107	:	1706635677.250	     0.141	0	23	0	0	magma -b seq:=2082 rk2search_omit.m
108	:	1706635677.343	     0.098	0	23	0	0	magma -b seq:=3893 rk2search_omit.m
110	:	1706635677.391	     0.093	0	24	0	0	magma -b seq:=5384 rk2search_omit.m
109	:	1706635677.371	     0.139	0	24	0	0	magma -b seq:=4574 rk2search_omit.m
112	:	1706635677.463	     0.115	0	23	0	0	magma -b seq:=8333 rk2search_omit.m
114	:	1706635677.533	     0.104	0	24	0	0	magma -b seq:=11049 rk2search_omit.m
44	:	1706635675.418	     2.246	0	19	0	0	magma -b seq:=4740 rk2search_omit.m
111	:	1706635677.442	     0.249	0	22	0	0	magma -b seq:=4709 rk2search_omit.m
115	:	1706635677.599	     0.120	0	23	0	0	magma -b seq:=9906 rk2search_omit.m
113	:	1706635677.511	     0.226	0	23	0	0	magma -b seq:=5866 rk2search_omit.m
116	:	1706635677.648	     0.135	0	24	0	0	magma -b seq:=8222 rk2search_omit.m
117	:	1706635677.690	     0.128	0	23	0	0	magma -b seq:=9034 rk2search_omit.m
119	:	1706635677.735	     0.172	0	23	0	0	magma -b seq:=2973 rk2search_omit.m
121	:	1706635677.811	     0.096	0	25	0	0	magma -b seq:=1642 rk2search_omit.m
118	:	1706635677.719	     0.231	0	24	0	0	magma -b seq:=9939 rk2search_omit.m
120	:	1706635677.749	     0.203	0	23	0	0	magma -b seq:=6351 rk2search_omit.m
122	:	1706635677.847	     0.170	0	25	0	0	magma -b seq:=193 rk2search_omit.m
124	:	1706635677.989	     0.109	0	25	0	0	magma -b seq:=726 rk2search_omit.m
123	:	1706635677.951	     0.219	0	25	0	0	magma -b seq:=429 rk2search_omit.m
126	:	1706635678.076	     0.105	0	24	0	0	magma -b seq:=4306 rk2search_omit.m
125	:	1706635678.017	     0.206	0	21	0	0	magma -b seq:=9250 rk2search_omit.m
128	:	1706635678.124	     0.105	0	25	0	0	magma -b seq:=2565 rk2search_omit.m
127	:	1706635678.099	     0.151	0	23	0	0	magma -b seq:=7763 rk2search_omit.m
129	:	1706635678.180	     0.090	0	23	0	0	magma -b seq:=5470 rk2search_omit.m
130	:	1706635678.194	     0.094	0	26	0	0	magma -b seq:=1380 rk2search_omit.m
133	:	1706635678.266	     0.075	0	24	0	0	magma -b seq:=1326 rk2search_omit.m
131	:	1706635678.230	     0.121	0	23	0	0	magma -b seq:=2162 rk2search_omit.m
132	:	1706635678.246	     0.121	0	23	0	0	magma -b seq:=5905 rk2search_omit.m
134	:	1706635678.288	     0.097	0	23	0	0	magma -b seq:=1420 rk2search_omit.m
135	:	1706635678.306	     0.105	0	22	0	0	magma -b seq:=8514 rk2search_omit.m
137	:	1706635678.365	     0.065	0	25	0	0	magma -b seq:=8838 rk2search_omit.m
139	:	1706635678.406	     0.077	0	26	0	0	magma -b seq:=22 rk2search_omit.m
141	:	1706635678.454	     0.076	0	24	0	0	magma -b seq:=1154 rk2search_omit.m
140	:	1706635678.430	     0.121	0	25	0	0	magma -b seq:=439 rk2search_omit.m
142	:	1706635678.510	     0.108	0	23	0	0	magma -b seq:=2043 rk2search_omit.m
143	:	1706635678.550	     0.092	0	24	0	0	magma -b seq:=10072 rk2search_omit.m
144	:	1706635678.562	     0.105	0	24	0	0	magma -b seq:=8879 rk2search_omit.m
37	:	1706635675.373	     3.328	0	20	0	0	magma -b seq:=4136 rk2search_omit.m
145	:	1706635678.634	     0.105	0	23	0	0	magma -b seq:=3936 rk2search_omit.m
146	:	1706635678.666	     0.074	0	24	0	0	magma -b seq:=8068 rk2search_omit.m
148	:	1706635678.710	     0.085	0	21	0	0	magma -b seq:=6436 rk2search_omit.m
147	:	1706635678.678	     0.117	0	22	0	0	magma -b seq:=8982 rk2search_omit.m
150	:	1706635678.790	     0.077	0	23	0	0	magma -b seq:=1591 rk2search_omit.m
149	:	1706635678.767	     0.118	0	25	0	0	magma -b seq:=662 rk2search_omit.m
151	:	1706635678.818	     0.077	0	23	0	0	magma -b seq:=7269 rk2search_omit.m
154	:	1706635678.896	     0.062	0	23	0	0	magma -b seq:=5582 rk2search_omit.m
153	:	1706635678.886	     0.087	0	24	0	0	magma -b seq:=2308 rk2search_omit.m
155	:	1706635678.905	     0.087	0	24	0	0	magma -b seq:=178 rk2search_omit.m
156	:	1706635678.973	     0.079	0	26	0	0	magma -b seq:=1019 rk2search_omit.m
157	:	1706635678.981	     0.115	0	24	0	0	magma -b seq:=352 rk2search_omit.m
158	:	1706635679.026	     0.076	0	26	0	0	magma -b seq:=2241 rk2search_omit.m
159	:	1706635679.077	     0.116	0	25	0	0	magma -b seq:=3019 rk2search_omit.m
161	:	1706635679.116	     0.078	0	24	0	0	magma -b seq:=2317 rk2search_omit.m
162	:	1706635679.200	     0.111	0	24	0	0	magma -b seq:=10004 rk2search_omit.m
163	:	1706635679.221	     0.115	0	24	0	0	magma -b seq:=920 rk2search_omit.m
164	:	1706635679.336	     0.118	0	23	0	0	magma -b seq:=9143 rk2search_omit.m
165	:	1706635679.348	     0.112	0	24	0	0	magma -b seq:=9895 rk2search_omit.m
19	:	1706635675.158	     4.332	0	19	0	0	magma -b seq:=6158 rk2search_omit.m
167	:	1706635679.475	     0.081	0	25	0	0	magma -b seq:=3389 rk2search_omit.m
64	:	1706635675.748	     3.815	0	20	0	0	magma -b seq:=3809 rk2search_omit.m
166	:	1706635679.461	     0.128	0	25	0	0	magma -b seq:=292 rk2search_omit.m
168	:	1706635679.498	     0.107	0	24	0	0	magma -b seq:=6599 rk2search_omit.m
171	:	1706635679.605	     0.059	0	23	0	0	magma -b seq:=6098 rk2search_omit.m
169	:	1706635679.562	     0.141	0	23	0	0	magma -b seq:=5657 rk2search_omit.m
170	:	1706635679.575	     0.128	0	24	0	0	magma -b seq:=4612 rk2search_omit.m
172	:	1706635679.621	     0.089	0	22	0	0	magma -b seq:=9208 rk2search_omit.m
173	:	1706635679.703	     0.056	0	23	0	0	magma -b seq:=1431 rk2search_omit.m
174	:	1706635679.711	     0.081	0	24	0	0	magma -b seq:=6610 rk2search_omit.m
176	:	1706635679.728	     0.098	0	23	0	0	magma -b seq:=10598 rk2search_omit.m
175	:	1706635679.719	     0.138	0	24	0	0	magma -b seq:=8458 rk2search_omit.m
178	:	1706635679.802	     0.069	0	23	0	0	magma -b seq:=7984 rk2search_omit.m
177	:	1706635679.785	     0.097	0	23	0	0	magma -b seq:=10402 rk2search_omit.m
179	:	1706635679.858	     0.078	0	23	0	0	magma -b seq:=3583 rk2search_omit.m
182	:	1706635679.893	     0.126	0	25	0	0	magma -b seq:=2789 rk2search_omit.m
183	:	1706635679.956	     0.133	0	24	0	0	magma -b seq:=4621 rk2search_omit.m
184	:	1706635680.032	     0.072	0	23	0	0	magma -b seq:=6089 rk2search_omit.m
185	:	1706635680.105	     0.145	0	23	0	0	magma -b seq:=8830 rk2search_omit.m
186	:	1706635680.118	     0.148	0	23	0	0	magma -b seq:=4199 rk2search_omit.m
136	:	1706635678.352	     2.101	0	18	0	0	magma -b seq:=6660 rk2search_omit.m
187	:	1706635680.261	     0.216	0	23	0	0	magma -b seq:=6982 rk2search_omit.m
70	:	1706635675.921	     4.582	0	19	0	0	magma -b seq:=5217 rk2search_omit.m
188	:	1706635680.284	     0.231	0	23	0	0	magma -b seq:=10708 rk2search_omit.m
189	:	1706635680.476	     0.142	0	25	0	0	magma -b seq:=2912 rk2search_omit.m
190	:	1706635680.503	     0.144	0	23	0	0	magma -b seq:=1502 rk2search_omit.m
152	:	1706635678.838	     1.810	0	17	0	0	magma -b seq:=5819 rk2search_omit.m
192	:	1706635680.541	     0.109	0	23	0	0	magma -b seq:=4514 rk2search_omit.m
191	:	1706635680.514	     0.174	0	24	0	0	magma -b seq:=9426 rk2search_omit.m
194	:	1706635680.663	     0.194	0	23	0	0	magma -b seq:=508 rk2search_omit.m
197	:	1706635680.738	     0.245	0	24	0	0	magma -b seq:=2616 rk2search_omit.m
198	:	1706635680.878	     0.224	0	26	0	0	magma -b seq:=3156 rk2search_omit.m
199	:	1706635681.003	     0.144	0	24	0	0	magma -b seq:=4890 rk2search_omit.m
