Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
1555	:	1706635611.691	     3.273	0	20	0	0	magma -b seq:=5231 rk2search.m
1556	:	1706635614.969	     2.040	0	22	0	0	magma -b seq:=2586 rk2search.m
1519	:	1706635556.445	    60.582	0	0	-1	15	magma -b seq:=10871 rk2search.m
1520	:	1706635556.488	    60.549	0	0	-1	15	magma -b seq:=9980 rk2search.m
1557	:	1706635617.018	     2.607	0	19	0	0	magma -b seq:=8969 rk2search.m
1525	:	1706635560.419	    60.710	0	0	-1	15	magma -b seq:=8116 rk2search.m
1529	:	1706635569.593	    53.273	0	23	0	0	magma -b seq:=77 rk2search.m
1527	:	1706635563.134	    61.086	0	0	-1	15	magma -b seq:=9126 rk2search.m
1536	:	1706635582.038	    61.365	0	0	-1	15	magma -b seq:=69 rk2search.m
1564	:	1706635644.426	     2.126	0	20	0	0	magma -b seq:=4814 rk2search.m
1565	:	1706635646.558	     1.750	0	21	0	0	magma -b seq:=4899 rk2search.m
1566	:	1706635648.314	     2.743	0	18	0	0	magma -b seq:=7380 rk2search.m
1567	:	1706635651.062	     1.611	0	20	0	0	magma -b seq:=2038 rk2search.m
1568	:	1706635652.681	     2.154	0	21	0	0	magma -b seq:=3815 rk2search.m
1569	:	1706635654.840	     2.295	0	21	0	0	magma -b seq:=2208 rk2search.m
1570	:	1706635657.143	     1.773	0	21	0	0	magma -b seq:=2009 rk2search.m
1571	:	1706635658.921	     3.059	0	22	0	0	magma -b seq:=6 rk2search.m
1572	:	1706635661.990	     1.730	0	20	0	0	magma -b seq:=11063 rk2search.m
1550	:	1706635605.087	    61.219	0	0	-1	15	magma -b seq:=9682 rk2search.m
1552	:	1706635607.678	    60.361	0	0	-1	15	magma -b seq:=1779 rk2search.m
1554	:	1706635609.281	    61.236	0	0	-1	15	magma -b seq:=9846 rk2search.m
1558	:	1706635617.130	    61.695	0	0	-1	15	magma -b seq:=1874 rk2search.m
1559	:	1706635617.184	    61.661	0	0	-1	15	magma -b seq:=693 rk2search.m
1560	:	1706635619.630	    60.945	0	0	-1	15	magma -b seq:=7243 rk2search.m
1561	:	1706635621.357	    61.256	0	0	-1	15	magma -b seq:=8262 rk2search.m
1578	:	1706635679.978	     2.881	0	18	0	0	magma -b seq:=4442 rk2search.m
1562	:	1706635622.871	    60.266	0	0	-1	15	magma -b seq:=9375 rk2search.m
1577	:	1706635679.940	     3.378	0	20	0	0	magma -b seq:=4351 rk2search.m
1563	:	1706635624.504	    60.614	0	0	-1	15	magma -b seq:=8489 rk2search.m
1581	:	1706635682.888	     4.171	0	20	0	0	magma -b seq:=7939 rk2search.m
1583	:	1706635683.330	     4.185	0	19	0	0	magma -b seq:=10690 rk2search.m
1582	:	1706635683.319	     4.381	0	20	0	0	magma -b seq:=4729 rk2search.m
1586	:	1706635687.530	     3.588	0	22	0	0	magma -b seq:=5542 rk2search.m
1587	:	1706635687.708	     4.414	0	21	0	0	magma -b seq:=603 rk2search.m
1588	:	1706635691.131	     4.273	0	21	0	0	magma -b seq:=4157 rk2search.m
1590	:	1706635695.411	     3.542	0	21	0	0	magma -b seq:=8456 rk2search.m
1573	:	1706635663.726	    60.963	0	0	-1	15	magma -b seq:=8375 rk2search.m
1591	:	1706635698.973	    27.119	0	22	0	0	magma -b seq:=810 rk2search.m
1574	:	1706635666.638	    60.727	0	0	-1	15	magma -b seq:=3926 rk2search.m
1592	:	1706635725.763	     2.704	0	18	0	0	magma -b seq:=6435 rk2search.m
1593	:	1706635726.112	     2.624	0	20	0	0	magma -b seq:=4914 rk2search.m
1575	:	1706635668.363	    60.764	0	0	-1	15	magma -b seq:=7103 rk2search.m
1595	:	1706635728.481	     2.743	0	19	0	0	magma -b seq:=6252 rk2search.m
1597	:	1706635729.247	     2.187	0	18	0	0	magma -b seq:=4422 rk2search.m
1576	:	1706635671.090	    61.001	0	0	-1	15	magma -b seq:=7588 rk2search.m
1598	:	1706635731.241	     2.855	0	17	0	0	magma -b seq:=7094 rk2search.m
1601	:	1706635734.104	     2.168	0	21	0	0	magma -b seq:=1452 rk2search.m
1600	:	1706635732.185	     6.141	0	19	0	0	magma -b seq:=5797 rk2search.m
1602	:	1706635736.296	     4.796	0	19	0	0	magma -b seq:=7585 rk2search.m
1603	:	1706635738.343	     3.514	0	21	0	0	magma -b seq:=10194 rk2search.m
1579	:	1706635681.184	    60.865	0	0	-1	15	magma -b seq:=9864 rk2search.m
1580	:	1706635682.859	    60.210	0	0	-1	15	magma -b seq:=712 rk2search.m
1604	:	1706635741.105	     2.105	0	18	0	0	magma -b seq:=6933 rk2search.m
1596	:	1706635728.755	    16.723	0	21	0	0	magma -b seq:=4918 rk2search.m
1584	:	1706635685.343	    60.746	0	0	-1	15	magma -b seq:=7860 rk2search.m
1607	:	1706635743.211	     3.416	0	20	0	0	magma -b seq:=5690 rk2search.m
1606	:	1706635742.135	     5.032	0	19	0	0	magma -b seq:=5598 rk2search.m
1609	:	1706635745.494	     2.220	0	20	0	0	magma -b seq:=4962 rk2search.m
1585	:	1706635687.066	    61.048	0	0	-1	15	magma -b seq:=10116 rk2search.m
1608	:	1706635743.227	     5.032	0	20	0	0	magma -b seq:=10130 rk2search.m
1613	:	1706635747.726	     3.053	0	22	0	0	magma -b seq:=2786 rk2search.m
1612	:	1706635747.181	     3.670	0	20	0	0	magma -b seq:=2195 rk2search.m
1611	:	1706635746.633	     4.474	0	20	0	0	magma -b seq:=1815 rk2search.m
1610	:	1706635746.268	     4.854	0	19	0	0	magma -b seq:=5212 rk2search.m
1615	:	1706635748.279	     3.589	0	19	0	0	magma -b seq:=7479 rk2search.m
1614	:	1706635748.178	     4.368	0	21	0	0	magma -b seq:=315 rk2search.m
1589	:	1706635692.138	    60.918	0	0	-1	15	magma -b seq:=8929 rk2search.m
1618	:	1706635751.121	     3.355	0	19	0	0	magma -b seq:=6731 rk2search.m
1617	:	1706635750.858	     4.237	0	21	0	0	magma -b seq:=4825 rk2search.m
1621	:	1706635752.575	     2.549	0	21	0	0	magma -b seq:=10315 rk2search.m
1620	:	1706635751.893	     3.780	0	20	0	0	magma -b seq:=9068 rk2search.m
1619	:	1706635751.136	     4.641	0	20	0	0	magma -b seq:=9613 rk2search.m
1622	:	1706635753.135	     6.150	0	22	0	0	magma -b seq:=1969 rk2search.m
1623	:	1706635754.501	     5.019	0	21	0	0	magma -b seq:=3425 rk2search.m
1624	:	1706635755.113	     4.850	0	22	0	0	magma -b seq:=813 rk2search.m
1630	:	1706635759.976	     2.794	0	21	0	0	magma -b seq:=1571 rk2search.m
1628	:	1706635759.298	     3.480	0	23	0	0	magma -b seq:=1966 rk2search.m
1629	:	1706635759.547	     3.450	0	20	0	0	magma -b seq:=3541 rk2search.m
1632	:	1706635762.801	     3.064	0	18	0	0	magma -b seq:=6024 rk2search.m
