Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
1	:	1706635322.343	     0.060	0	21	0	0	magma -b seq:=9826 rk2search_omit.m
2	:	1706635322.350	     0.091	0	24	0	0	magma -b seq:=4519 rk2search_omit.m
3	:	1706635322.355	     0.088	0	24	0	0	magma -b seq:=560 rk2search_omit.m
6	:	1706635322.374	     0.069	0	22	0	0	magma -b seq:=7236 rk2search_omit.m
7	:	1706635322.380	     0.070	0	24	0	0	magma -b seq:=1889 rk2search_omit.m
5	:	1706635322.368	     0.092	0	24	0	0	magma -b seq:=1844 rk2search_omit.m
4	:	1706635322.361	     0.105	0	23	0	0	magma -b seq:=7791 rk2search_omit.m
8	:	1706635322.389	     0.144	0	24	0	0	magma -b seq:=11103 rk2search_omit.m
10	:	1706635322.451	     0.084	0	22	0	0	magma -b seq:=5835 rk2search_omit.m
9	:	1706635322.403	     0.132	0	24	0	0	magma -b seq:=8314 rk2search_omit.m
11	:	1706635322.459	     0.096	0	23	0	0	magma -b seq:=9562 rk2search_omit.m
12	:	1706635322.474	     0.082	0	24	0	0	magma -b seq:=10579 rk2search_omit.m
13	:	1706635322.480	     0.078	0	25	0	0	magma -b seq:=2429 rk2search_omit.m
14	:	1706635322.486	     0.099	0	23	0	0	magma -b seq:=8111 rk2search_omit.m
15	:	1706635322.501	     0.095	0	21	0	0	magma -b seq:=6456 rk2search_omit.m
16	:	1706635322.519	     0.077	0	25	0	0	magma -b seq:=1210 rk2search_omit.m
18	:	1706635322.555	     0.064	0	24	0	0	magma -b seq:=4644 rk2search_omit.m
17	:	1706635322.532	     0.099	0	24	0	0	magma -b seq:=9380 rk2search_omit.m
19	:	1706635322.576	     0.094	0	24	0	0	magma -b seq:=4201 rk2search_omit.m
21	:	1706635322.595	     0.075	0	21	0	0	magma -b seq:=7815 rk2search_omit.m
20	:	1706635322.586	     0.098	0	21	0	0	magma -b seq:=7093 rk2search_omit.m
24	:	1706635322.632	     0.066	0	23	0	0	magma -b seq:=2424 rk2search_omit.m
25	:	1706635322.641	     0.078	0	24	0	0	magma -b seq:=1114 rk2search_omit.m
22	:	1706635322.604	     0.126	0	24	0	0	magma -b seq:=2372 rk2search_omit.m
23	:	1706635322.620	     0.112	0	24	0	0	magma -b seq:=1519 rk2search_omit.m
26	:	1706635322.670	     0.083	0	23	0	0	magma -b seq:=8185 rk2search_omit.m
27	:	1706635322.684	     0.071	0	23	0	0	magma -b seq:=8239 rk2search_omit.m
28	:	1706635322.698	     0.065	0	23	0	0	magma -b seq:=6505 rk2search_omit.m
29	:	1706635322.719	     0.072	0	22	0	0	magma -b seq:=5752 rk2search_omit.m
31	:	1706635322.742	     0.088	0	24	0	0	magma -b seq:=5117 rk2search_omit.m
30	:	1706635322.731	     0.121	0	23	0	0	magma -b seq:=10667 rk2search_omit.m
33	:	1706635322.763	     0.115	0	23	0	0	magma -b seq:=7684 rk2search_omit.m
34	:	1706635322.771	     0.108	0	26	0	0	magma -b seq:=2296 rk2search_omit.m
32	:	1706635322.753	     0.145	0	23	0	0	magma -b seq:=5109 rk2search_omit.m
36	:	1706635322.792	     0.108	0	23	0	0	magma -b seq:=961 rk2search_omit.m
37	:	1706635322.800	     0.123	0	25	0	0	magma -b seq:=10245 rk2search_omit.m
35	:	1706635322.780	     0.151	0	25	0	0	magma -b seq:=102 rk2search_omit.m
40	:	1706635322.851	     0.082	0	22	0	0	magma -b seq:=6826 rk2search_omit.m
39	:	1706635322.830	     0.111	0	22	0	0	magma -b seq:=7854 rk2search_omit.m
38	:	1706635322.814	     0.148	0	23	0	0	magma -b seq:=2441 rk2search_omit.m
41	:	1706635322.878	     0.089	0	24	0	0	magma -b seq:=1830 rk2search_omit.m
42	:	1706635322.899	     0.117	0	24	0	0	magma -b seq:=9662 rk2search_omit.m
43	:	1706635322.922	     0.103	0	24	0	0	magma -b seq:=588 rk2search_omit.m
44	:	1706635322.931	     0.099	0	23	0	0	magma -b seq:=6374 rk2search_omit.m
45	:	1706635322.940	     0.092	0	25	0	0	magma -b seq:=3312 rk2search_omit.m
46	:	1706635322.962	     0.070	0	23	0	0	magma -b seq:=6791 rk2search_omit.m
